name,url,category,chemistry,chemistry html,IMA Symbol,Strunz class,crystal system,crystal class,crystal class symbol,H-M symbol,color,cleavage,mohs,streak,gravity,luster,habit,varieties,summary
Abelsonite,https://en.wikipedia.org/wiki/Abelsonite,Organic minerals,C31H32N4Ni,C<sub>31</sub>H<sub>32</sub>N<sub>4</sub>Ni,Abl,10.CA.20,Triclinic,,,,"Pink-purple, dark greyish purple, pale purplish red, reddish brown",Probable on {111},2–3,Pink,1.45,"Adamantine, sub-metallic",,,Abelsonite is a nickel porphyrin mineral with chemical formula  C31H32N4Ni. It was discovered in 1969 in the U.S. State of Utah and described in 1975. The mineral is named after geochemist Philip H. Abelson. It is the only known crystalline geoporphyrin.
Abenakiite-(Ce),https://en.wikipedia.org/wiki/Abenakiite-(Ce),"Silicate, cyclosilicate",Na26Ce6(SiO3)6(PO4)6(CO3)6(S4+O2)O,Na<sub>26</sub>Ce<sub>6</sub>(SiO<sub>3</sub>)<sub>6</sub>(PO<sub>4</sub>)<sub>6</sub>(CO<sub>3</sub>)<sub>6</sub>(S<sup>4+</sup>O<sub>2</sub>)O,Abk-Ce,9.CK.10,Trigonal,Rhombohedral,3,3,Pale brown,"{0001}, poor",4-5,White,"3.21 (meas.), 3.27 (calc.)",Vitreous,,,"Abenakiite-(Ce) is a mineral of sodium, cerium, neodymium, lanthanum, praseodymium, thorium, samarium, oxygen, sulfur, carbon, phosphorus, and silicon with a chemical formula Na26Ce6(SiO3)6(PO4)6(CO3)6(S4+O2)O. The silicate groups may be given as the cyclic Si6O18 grouping. The mineral is named after the Abenaki, an Algonquian Indian tribe of New England.  Its Mohs scale rating is 4 to 5."
Abernathyite,https://en.wikipedia.org/wiki/Abernathyite,Arsenate minerals,K(UO2)(AsO4)·3H2O,K(UO<sub>2</sub>)(AsO<sub>4</sub>)·3H<sub>2</sub>O,Abn,8.EB.15,Tetragonal,Ditetragonal dipyramidal,4/mmm,4/m 2/m 2/m,Yellow,Perfect on {001},2.5–3,Pale yellow,3.32 (measured) 3.572 (calculated),"Sub-Vitreous, resinous, waxy, greasy",,,Abernathyite is a mineral with formula K(UO2)(AsO4)·3H2O. The mineral is named after Jesse Evrett Abernathy (1913–1963) who first noted it in 1953 in the U.S. State of Utah. It was described as a new mineral species in 1956. Abernathyite is yellow and occurs as small crystals.
Abhurite,https://en.wikipedia.org/wiki/Abhurite,Halide mineral,Sn21O6(OH)14Cl16,Sn<sub>21</sub>O<sub>6</sub>(OH)<sub>14</sub>Cl<sub>16</sub>,Abh,3.DA.30,Trigonal,Trapezohedral,32,32,Colorless,None,2,White,4.42,,"Platy, thin crystals, cryptocrystalline crusts",,"Abhurite is a mineral of tin, oxygen, hydrogen, and chlorine with the formula Sn21O6(OH)14Cl16 or Sn3O(OH)2Cl2. It is named after its type locality, a shipwreck with tin ingots at Sharm Abhur, a cove near Jeddah in the Red Sea. Abhurite forms alongside other tin minerals like romarchite and cassiterite."
Abramovite,https://en.wikipedia.org/wiki/Abramovite,Sulfides and Sulfosalts,Pb2SnInBiS7,Pb<sub>2</sub>SnInBiS<sub>7</sub>,Abm,2.HF.25a,Triclinic,Pinacoidal,1,1,Silver gray,Perfect on {100},,Black,,Metallic,Encrustations - Forms crust-like aggregates on matrix,,"Abramovite is a very rare mineral from the sulfides and sulfosalt categories. It has the chemical formula Pb2SnInBiS7. It occurs as tiny elongated lamellar-shaped crystals, up 1 mm × 0.2 mm in size, and is characterized by its non-commensurate structure."
Abswurmbachite,https://en.wikipedia.org/wiki/Abswurmbachite,Nesosilicate,"(Cu,Mn2+)Mn3+6O8SiO4","(Cu,Mn<sup>2+</sup>)Mn<sup>3+</sup><sub>6</sub>O<sub>8</sub>SiO<sub>4</sub>",Abs,9.AG.05,Tetragonal,4/mmm - Ditetragonal dipyramidal,,,Black,None,6.5,Brownish black,4.96 g/cm3,Metallic,,,"Abswurmbachite is a copper manganese silicate mineral ((Cu,Mn2+)Mn3+6O8SiO4). It was first described in 1991 and named after Irmgard Abs-Wurmbach (born 1938), a German mineralogist.  It crystallizes in the tetragonal system. Its Mohs scale rating is 6.5 and a specific gravity of 4.96.  It has a metallic luster and its color is jet black, with light brown streaks."
Acanthite,https://en.wikipedia.org/wiki/Acanthite,Sulfide mineral,Ag2S,Ag<sub>2</sub>S,Aca,2.BA.30a,Monoclinic,Prismatic,2/m,2/m,Iron-black,Indistinct,2.0 - 2.5,Black,7.20 - 7.22,Metallic,"Primary crystals rare, prismatic to long prismatic, elongated along [001], may be tubular; massive. Commonly paramorphic after the cubic high-temperature phase (“argentite”), of original cubic or octahedral habit",,Acanthite is a form of silver sulfide with the chemical formula Ag2S. It crystallizes in the monoclinic system and is the stable form of silver sulfide below 173 °C (343 °F). Argentite is the stable form above that temperature. As argentite cools below that temperature its cubic form is distorted to the monoclinic form of acanthite. Below 173 °C acanthite forms directly. Acanthite is the only stable form  in normal air temperature.
Achávalite,https://en.wikipedia.org/wiki/Achavalite,Selenide mineral,"(Fe,Cu)Se","(Fe,Cu)Se",Ahv,2.CC.05,Hexagonal,Dihexagonal dipyramidal,6/mmm,6/m 2/m 2/m,Dark grey,,2.5,Grey-black,6.53,Metallic,,,"Achávalite a selenide mineral that is a member of the nickeline group. It has only been found in a single Argentinian mine system, being first discovered in 1939 in a selenide deposit. The type locality is Cacheuta mine, Sierra de Cacheuta, Mendoza, Argentina."
Actinolite,https://en.wikipedia.org/wiki/Actinolite,Inosilicates,Ca2(Mg4.5-2.5Fe2+0.5-2.5) Si8O22(OH)2,Ca<sub>2</sub>(Mg<sub>4.5-2.5</sub>Fe<sup>2+</sup><sub>0.5-2.5</sub>)<br/>Si<sub>8</sub>O<sub>22</sub>(OH)<sub>2</sub>,Act,9.DE.10,Monoclinic,Prismatic,2/m,2/m,"pale to dark green, yellowish green and black. White or grey when in asbestos",perfect along {110}.,5–6,white,"3.00 (+0.10, -0.05)",vitreous to dull,"bladed, fibrous, radial",,Actinolite is an amphibole silicate mineral with the chemical formula Ca2(Mg4.5-2.5Fe2+0.5-2.5)Si8O22(OH)2.
Acuminite,https://en.wikipedia.org/wiki/Acuminite,Halide mineral,SrAlF4OH·(H2O),SrAlF<sub>4</sub>OH·(H<sub>2</sub>O),Acu,3.CC.10,Monoclinic,Prismatic,2/m,2/m,White,Perfect on {001},3.5,,3.295,Vitreous,Clusters of acute dipyramidal Spearhead shaped crystals,,"Acuminite is a rare halide mineral with chemical formula: SrAlF4(OH)·(H2O).  Its name comes from the Latin word acumen, meaning ""spear point"".  Its Mohs scale rating is 3.5."
